"champ";"statut";"annee";"periode";"date du resultat";"ipe";codegeo;N;pct;nbj;pctj;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59223;8;0.7462686567;86;0.5009319664;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59236;12;1.1194029851;66;0.3844361603;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59237;1;0.0932835821;9;0.0524231128;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59239;2;0.1865671642;40;0.2329916123;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59242;5;0.4664179104;116;0.6756756757;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59249;2;0.1865671642;22;0.1281453868;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59250;23;2.1455223881;344;2.0037278658;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59262;4;0.3731343284;71;0.4135601118;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59273;3;0.2798507463;132;0.7688723206;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59274;11;1.026119403;98;0.5708294501;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59280;8;0.7462686567;487;2.8366728798;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59283;3;0.2798507463;15;0.0873718546;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59290;42;3.9179104478;647;3.768639329;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59320;22;2.052238806;312;1.817334576;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59350;16;1.4925373134;118;0.6873252563;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59370;8;0.7462686567;165;0.9610904007;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59390;11;1.026119403;98;0.5708294501;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59420;3;0.2798507463;29;0.1689189189;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59480;4;0.3731343284;26;0.151444548;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59491;71;6.6231343284;1013;5.9005125815;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59496;3;0.2798507463;90;0.5242311277;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59510;27;2.5186567164;336;1.9571295433;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59520;24;2.2388059701;277;1.6134669152;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59560;20;1.8656716418;220;1.2814538677;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59700;51;4.7574626866;653;3.8035880708;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59710;1;0.0932835821;2;0.0116495806;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59780;4;0.3731343284;93;0.5417054986;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59790;7;0.6529850746;147;0.8562441752;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59810;1;0.0932835821;1;0.0058247903;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59830;2;0.1865671642;25;0.1456197577;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59840;16;1.4925373134;230;1.3397017707;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59890;24;2.2388059701;261;1.5202702703;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59910;12;1.1194029851;192;1.118359739;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59930;5;0.4664179104;34;0.1980428705;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59960;11;1.026119403;127;0.7397483691;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";59C05;190;17.723880597;2992;17.4277726;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:21";="590048476";Total;1072;100;17168;100;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";31000;1;0.0415800416;11;0.0514788469;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";57000;1;0.0415800416;11;0.0514788469;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59100;124;5.1559251559;2086;9.7622613253;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59110;60;2.4948024948;447;2.0919131411;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59112;66;2.7442827443;424;1.9842755522;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59113;44;1.8295218295;290;1.3571695994;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59115;29;1.2058212058;74;0.3463122426;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59117;2;0.0831600832;42;0.1965555972;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59118;35;1.4553014553;276;1.291651067;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59120;70;2.9106029106;454;2.1246724073;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59126;24;0.9979209979;190;0.8891800824;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59130;90;3.7422037422;602;2.8172968925;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59133;19;0.79002079;91;0.4258704605;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59134;26;1.0810810811;183;0.8564208162;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59135;1;0.0415800416;17;0.0795582179;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59136;11;0.4573804574;147;0.68794459;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59139;53;2.2037422037;531;2.4850243355;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59147;5;0.2079002079;51;0.2386746537;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59150;51;2.1205821206;625;2.9249344815;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59152;7;0.2910602911;64;0.2995132909;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59155;21;0.8731808732;446;2.087233246;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59162;4;0.1663201663;274;1.2822912767;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59166;7;0.2910602911;139;0.6505054287;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59169;1;0.0415800416;8;0.0374391614;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59170;10;0.4158004158;55;0.2573942344;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59175;10;0.4158004158;54;0.2527143392;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59184;41;1.7047817048;175;0.8189816548;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59185;3;0.1247401247;107;0.5007487832;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59200;183;7.6091476091;1881;8.8028828154;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59211;3;0.1247401247;67;0.3135529764;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59221;2;0.0831600832;23;0.1076375889;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59223;18;0.7484407484;159;0.7441033321;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59236;1;0.0415800416;11;0.0514788469;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59239;4;0.1663201663;58;0.2714339199;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59242;15;0.6237006237;121;0.5662673156;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59246;10;0.4158004158;10;0.0467989517;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59249;1;0.0415800416;21;0.0982777986;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59250;7;0.2910602911;272;1.2729314863;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59251;23;0.9563409563;37;0.1731561213;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59261;5;0.2079002079;83;0.3884312991;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59262;7;0.2910602911;13;0.0608386372;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59263;11;0.4573804574;87;0.4071508798;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59273;14;0.5821205821;28;0.1310370648;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59274;2;0.0831600832;27;0.1263571696;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59280;43;1.7879417879;419;1.9608760764;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59283;1;0.0415800416;3;0.0140396855;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59290;45;1.8711018711;248;1.1606140022;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59310;3;0.1247401247;15;0.0701984276;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59320;116;4.8232848233;848;3.9685511045;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59350;13;0.5405405405;168;0.7862223886;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59370;50;2.079002079;523;2.4475851741;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59390;11;0.4573804574;219;1.0248970423;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59420;42;1.7463617464;198;0.9266192437;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59480;13;0.5405405405;211;0.9874578809;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59491;78;3.2432432432;1009;4.7220142269;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59496;6;0.2494802495;8;0.0374391614;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59510;57;2.3700623701;454;2.1246724073;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59520;29;1.2058212058;107;0.5007487832;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59551;8;0.3326403326;101;0.4726694122;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59560;9;0.3742203742;118;0.5522276301;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59700;50;2.079002079;420;1.9655559715;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59710;57;2.3700623701;281;1.3150505429;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59780;9;0.3742203742;199;0.9312991389;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59790;36;1.4968814969;287;1.3431299139;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59810;8;0.3326403326;172;0.8049419693;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59830;31;1.288981289;264;1.235492325;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59840;25;1.0395010395;99;0.4633096219;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59890;14;0.5821205821;164;0.7675028079;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59910;3;0.1247401247;31;0.1450767503;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59930;16;0.6652806653;20;0.0935979034;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59960;2;0.0831600832;21;0.0982777986;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59999;8;0.3326403326;11;0.0514788469;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";59C05;472;19.625779626;3882;18.167353051;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";62110;1;0.0415800416;8;0.0374391614;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";62127;12;0.498960499;12;0.056158742;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";62138;1;0.0415800416;8;0.0374391614;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";62149;2;0.0831600832;2;0.0093597903;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";62220;10;0.4158004158;48;0.2246349682;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";62410;1;0.0415800416;9;0.0421190565;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";62500;1;0.0415800416;9;0.0421190565;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:09";="590780193";Total;2405;100;21368;100;2022.11;X590780193;30DEC22;11:03:01
