"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;age2;nb;nbrapss;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:34:19";="800000523";R628;0;2;4;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:19";="800000523";Z391;0;1;2;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/02/02 14:56:33";="590048476";R54+0;59;1;2;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:33";="590048476";R54+0;60;1;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:33";="590048476";R54+0;63;1;2;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:33";="590048476";R54+8;59;2;2;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:33";="590048476";R54+8;62;1;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:33";="590048476";R54+8;63;10;12;2022.12;X590048476;02FEB23;14:56:04
