"champ";"statut";"annee";"periode";"date du resultat";"ipe";diagp1;N;nbj;pctj;nbsej;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";F01;101;639;3.7220410065;66;22.3555452;F01;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";S82;42;605;3.5239981361;22;25.879543336;S82;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";U07;47;526;3.0638397018;23;28.943383038;U07;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";J96;39;522;3.0405405405;17;31.983923579;J96;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C50;56;503;2.9298695247;26;34.913793103;C50;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";I64;48;483;2.8133737185;22;37.727166822;I64;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";I77;41;481;2.8017241379;18;40.52889096;I77;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";A41;42;409;2.3823392358;28;42.911230196;A41;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C93;61;332;1.9338303821;58;44.845060578;C93;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";D46;76;324;1.8872320596;67;46.732292637;D46;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C39;26;280;1.6309412861;13;48.363233924;C39;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C71;29;249;1.4503727866;10;49.81360671;C71;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";I50;46;248;1.4445479963;28;51.258154706;I50;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";J69;27;242;1.4095992544;13;52.667753961;J69;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";L05;24;234;1.363000932;13;54.030754893;L05;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C25;37;223;1.2989282386;17;55.329683131;C25;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C18;31;209;1.2173811743;16;56.547064306;C18;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";F03;46;188;1.0950605778;28;57.642124884;F03;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";I33;19;179;1.0426374651;13;58.684762349;I33;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C20;21;176;1.0251630941;9;59.709925443;C20;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C61;22;167;0.9727399814;10;60.682665424;C61;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";R53;15;160;0.9319664492;10;61.614631873;R53;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";F00;26;158;0.9203168686;13;62.534948742;F00;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";J90;14;158;0.9203168686;6;63.45526561;J90;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";G81;6;157;0.9144920783;1;64.369757689;G81;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";N10;22;152;0.8853681267;16;65.255125815;N10;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C64;17;149;0.8678937558;6;66.123019571;C64;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C15;20;142;0.8271202237;12;66.950139795;C15;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";I78;9;142;0.8271202237;4;67.777260019;I78;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C56;13;137;0.7979962721;7;68.575256291;C56;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";T84;16;137;0.7979962721;8;69.373252563;T84;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";J44;13;136;0.7921714818;8;70.165424045;J44;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";I60;8;130;0.75722274;3;70.922646785;I60;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";E10;6;126;0.7339235788;2;71.656570363;E10;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";R52;28;122;0.7106244175;22;72.367194781;R52;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C67;18;119;0.6931500466;9;73.060344828;C67;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";K42;4;119;0.6931500466;1;73.753494874;K42;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";G12;13;117;0.681500466;6;74.43499534;G12;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";A46;8;116;0.6756756757;3;75.110671016;A46;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";R54;10;114;0.6640260951;5;75.774697111;R54;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";M86;10;111;0.6465517241;6;76.421248835;M86;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";G35;10;109;0.6349021435;5;77.056150979;G35;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";C62;8;108;0.6290773532;1;77.685228332;C62;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";E11;13;104;0.605778192;8;78.291006524;E11;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";R09;23;104;0.605778192;19;78.896784716;R09;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";I70;10;102;0.5941286114;7;79.490913327;I70;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";80%;1456;13647;;805;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:24";="590048476";Tot;1942;17168;;1112;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";O42;223;3382;15.827405466;122;15.827405466;O42;2022.11;X590780193;30DEC22;11:03:01
