"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;nbsej;pctcum;mpcacodm;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";05;8;4;103;1.4745884037;40;11.45631068;6.8834951456;67.029126214;27;3;100;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";99;538;336;6985;;40;11.86714388;3.9225483178;68.02662849;445;283;100;55.576208178;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";08;279;148;4480;54.854903881;50;10.100223214;3.2486607143;72.153794643;180;117;54.854903881;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";04;146;98;1836;22.480715073;40;12.361655773;3.6171023965;71.696078431;137;81;77.335618954;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";07;117;63;1684;20.619566548;60;7.2701900238;2.7529691211;69.696555819;112;57;97.955185503;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";05;7;3;119;1.4570833844;40;12.504201681;5.6134453782;71.915966387;7;2;99.412268887;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";06;3;1;48;0.587731113;50;12;4;82;4;1;100;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";99;552;313;8167;;50;10.071262397;3.2681523203;71.598628627;320;258;100;31.702898551;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:13";="800000036";08;146;80;2298;47.371675943;40;10.385117493;4.2885117493;71.179286336;65;47;47.371675943;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:13";="800000036";04;158;116;1571;32.385075242;30;14.746021642;4.935709739;81.010821133;64;55;79.756751185;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:13";="800000036";07;112;81;982;20.243248815;50;7.149694501;2.816700611;64.176171079;60;61;100;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:13";="800000036";99;416;277;4851;;40;11.142444857;4.2001649145;72.945578231;125;163;100;64.182692308;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";08;344;202;4783;51.341777587;40;11.0742212;3.1741584779;66.228935814;291;103;51.341777587;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";04;237;167;2553;27.404465436;30;13.788875832;4.7316882099;80.591461026;249;95;78.746243023;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";07;119;64;1916;20.566766853;50;8.4879958246;2.4979123173;61.505219207;169;51;99.313009875;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";05;4;3;36;0.386431945;40;6.5555555556;2;87.055555556;15;3;99.699441821;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";06;2;1;28;0.3005581795;60;7;2;44;4;1;100;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";99;706;437;9316;;40;11.256547875;3.453842851;69.207063117;470;253;100;66.005665722;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:31";="800000077";08;76;32;1491;41.636414409;40;10.790744467;2.9175050302;78.865191147;42;29;41.636414409;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:31";="800000077";04;84;43;1371;38.285395141;40;12.563092633;4.2071480671;77.913931437;39;38;79.92180955;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:31";="800000077";07;58;34;719;20.07819045;50;6.3518776078;2.5215577191;58.605006954;40;33;100;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:31";="800000077";99;218;109;3581;;40;10.578050824;3.3317509076;74.43311924;95;100;100;50.917431193;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:23";="800000085";08;162;89;2636;40.479115479;40;10.672610015;4.1035660091;68.836494689;68;57;40.479115479;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:23";="800000085";04;196;138;2209;33.921990172;40;12.052965143;4.09370756;71.60072431;70;83;74.401105651;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:23";="800000085";07;89;46;1614;24.785012285;50;6.6456009913;2.6356877323;72.796778191;35;30;99.186117936;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:23";="800000085";06;4;2;45;0.691031941;40;12.2;2;49;3;1;99.877149877;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:23";="800000085";05;4;3;8;0.1228501229;50;10;4;3;2;3;100;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:23";="800000085";99;455;278;6512;;40;10.152487715;3.7217444717;70.537776413;142;174;100;63.296703297;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:19";="800000093";08;145;81;2277;41.543513957;40;12.166447079;3.5507246377;75.910408432;80;65;41.543513957;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:19";="800000093";07;171;111;1756;32.037949279;40;7.5392938497;2.9618451025;66.466970387;93;106;73.581463237;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:19";="800000093";04;122;79;1448;26.418536763;30;12.825276243;4.7140883978;76.32320442;55;60;100;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:19";="800000093";99;438;271;5481;;40;10.858055099;3.6694033935;72.993979201;163;231;100;73.287671233;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:12";="800000523";08;2971;1350;57798;65.326190153;30;11.297415135;3.8925741375;69.27012306;787;785;65.326190153;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:12";="800000523";04;1838;1018;29559;33.409060084;30;13.556344937;5.1373862445;75.714604689;562;560;98.735250237;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:12";="800000523";01;71;42;979;1.1065147611;60;13.959141982;6.4136874362;0.632540893;39;33;99.841764998;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:12";="800000523";06;3;1;78;0.0881595009;30;12;4;86;6;1;99.929924499;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:12";="800000523";07;8;6;62;0.0700755007;40;9.0161290323;3.7258064516;74.483870968;15;5;100;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:12";="800000523";99;4891;2417;88476;;30;12.080575523;4.3363284959;70.682081357;1063;1384;100;78.51155183;2022.11;X800000523;22DEC22;10:53:02
