"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;mpcp;mpca;ikmin;ikmax;N;nbseq;nbj;pctj;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";Tous;;;10;80;775;477;9834;;231;134;18.343283582;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1011;09;00;60;60;126;69;1891;11.014678472;69;59;25.644067797;11.014678472;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1012;09;00;50;50;51;22;988;5.7548928239;22;18;48.611111111;16.769571295;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1976;07;04;10;20;220;198;882;5.1374650513;169;123;4.8455284553;21.907036347;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0252;03;00;60;60;101;78;761;4.432665424;78;75;9.96;26.339701771;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0410;04;07;30;30;97;75;708;4.1239515377;73;27;5.5925925926;30.463653308;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0409;04;07;40;40;66;44;704;4.1006523765;44;15;9.6666666667;34.564305685;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0411;04;07;10;20;160;140;596;3.4715750233;125;55;3.9272727273;38.035880708;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0477;05;00;60;60;110;104;558;3.2502329916;104;104;5.3653846154;41.2861137;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1975;07;04;30;30;59;49;466;2.7143522833;49;18;13.111111111;44.000465983;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0408;04;07;50;50;28;19;418;2.4347623486;19;11;17.545454545;46.435228332;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0368;04;00;30;30;45;35;408;2.3765144455;35;10;16.3;48.811742777;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1084;09;14;40;40;24;13;392;2.2833178006;13;6;31.833333333;51.095060578;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0416;04;09;40;40;25;12;389;2.2658434296;12;4;44;53.360904007;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0367;04;00;40;40;26;18;333;1.9396551724;18;3;18.333333333;55.30055918;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0375;04;01;30;30;37;27;294;1.7124883504;26;12;14.25;57.01304753;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0417;04;09;30;30;26;16;280;1.6309412861;16;1;20;58.643988816;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0374;04;01;40;40;30;18;277;1.6134669152;18;7;23.571428571;60.257455732;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0369;04;00;10;20;30;24;255;1.4853215284;23;10;12.2;61.74277726;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1013;09;00;40;40;19;13;242;1.4095992544;13;10;20.5;63.152376514;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1085;09;14;30;30;10;3;237;1.3804753029;3;1;16;64.532851817;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0877;08;00;60;60;28;23;234;1.363000932;22;18;7.2222222222;65.895852749;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1066;09;11;40;40;12;6;217;1.2639794967;6;2;50.5;67.159832246;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0401;04;06;50;50;16;10;193;1.1241845294;10;6;15.166666667;68.284016775;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1010;09;00;70;70;18;12;191;1.1125349487;12;9;17.777777778;69.396551724;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1985;09;00;30;30;11;4;183;1.0659366263;4;2;75;70.46248835;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0373;04;01;50;50;13;10;164;0.9552656104;10;6;18.333333333;71.417753961;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0251;03;00;70;70;40;37;156;0.908667288;37;35;4;72.326421249;2022.11;X590048476;30DEC22;15:37:12
