"champ";"statut";"annee";"periode";"date du resultat";"ipe";codegeo;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:30";="590780193";59999;9;100;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:26";="590782652";59999;13;100;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:41";="600100713";60999;1;100;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/03 14:07:36";="800000028";80999;1;100;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:30";="800000036";80999;1;100;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/27 14:51:42";="800000093";80999;8;88.888888889;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:42";="800000093";99999;1;11.111111111;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:33";="800000523";80999;15;100;2022.11;X800000523;22DEC22;10:53:02
