"champ";"statut";"annee";"periode";"date du resultat";"ipe";ght;nbj;pctj;valobr;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";04;312;3.205918619;36106.692024;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";05;93;0.9556103576;12455.69553;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";06;324;3.3292231813;49096.020434;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";07;1959;20.12946979;332251.73535;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";08;770;7.9120427456;144240.991;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";09;743;7.6346074805;152788.36604;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";10;792;8.1381011097;177440.97095;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";11;785;8.0661734484;190014.54884;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";12;404;4.1512535964;105015.88207;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";13;959;9.8540896013;266970.88375;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";14;290;2.9798602548;86047.293118;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";15;621;6.3810110974;195511.12371;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";16;662;6.8023016852;219614.91804;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";17;252;2.5893958076;88350.410937;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";18;138;1.4180024661;50773.112328;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";19;133;1.3666255651;50901.259563;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";20;44;0.4521167283;17728.601261;2022.11;X020000022;27DEC22;13:05:07
