"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess;type;moiss;moist;mnt_am;mnt3;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;1;210200.43246;210200.43246;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;2;210200.43245;-1.45519E-10;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;3;207050.46962;-3149.962839;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;4;207050.46962;-1.16415E-10;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;5;207050.46962;5.820766E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;6;210200.43246;3149.962839;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;7;210200.43246;-1.16415E-10;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;8;210200.43246;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;9;210200.43246;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;10;210200.43246;5.820766E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;1;11;210200.43245;-8.73115E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;1;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;2;187851.55202;187851.55202;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;3;187851.55202;8.731149E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;4;187851.55202;-2.91038E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;5;187851.55202;-2.91038E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;6;187851.55202;2.910383E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;7;187851.55202;2.910383E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;8;187851.55202;-2.91038E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;9;187851.55202;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;10;187851.55202;2.910383E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;2;11;187851.55202;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;3;1;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;3;2;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;3;3;213888.93796;213888.93796;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;3;4;213888.93796;-2.91038E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;3;5;213349.43874;-539.4992256;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;3;6;218374.15367;5024.714936;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;3;7;218374.15367;-5.82077E-11;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";020000022;10;3;8;218374.15367;-2.91038E-11;2022.11;X020000022;27DEC22;13:05:07
