"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;nb;nbok;montant;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:09";="800000093";3400892505725;9250572;9250572;118;118;134596.74;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:09";="800000093";3400894165934;9416593;9416593;1;1;2.34;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:09";="800000093";3400894228080;9422808;9422808;136;136;336817.92;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:09";="800000093";3400894324973;9432497;9432497;120;120;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400891288131;9128813;9128813;184;184;3557.59;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400892353548;9235354;9235354;4;4;5029.795;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400892505725;9250572;9250572;15;15;413.505;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400892962498;9296249;9296249;1;1;2.859;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400892977119;9297711;9297711;4;4;11.842;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400893325254;9332525;9332525;126;126;257.292;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400893530597;9353059;9353059;17;17;28.628;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400893530719;9353071;9353071;7;7;10.362;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400893958100;9395810;9395810;21;21;7815.246;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400894139560;9413956;9413956;124;124;11587.267;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400894187356;9418735;9418735;62;62;7279.73;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400894332848;9433284;9433284;133;133;4492.4;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400894332909;9433290;9433290;187;187;7386.788;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400890007689;9000768;9000768;40;40;816.8;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400890007696;9000769;9000769;14;14;357.36;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400891251579;9125157;9125157;33;33;235.85;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400891251630;9125163;9125163;21;21;548.52;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400891288131;9128813;9128813;109;109;2905.94;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400891372557;9137255;9137255;396;396;4905.14;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400891372618;9137261;9137261;42;42;275.17;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400891464030;9146403;9146403;30;30;1739.88;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400891713121;9171312;9171312;1;1;587.41;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:35";="800000523";3400892270302;9227030;9227030;336;336;10136.92;2022.12;X800000523;26JAN23;11:33:47
