"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nombre;nb_nonval;nombre_et;nombre_pbind;nb_val;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894138389;9413838;9413838;I000586;50.05;0;0;0;50.05;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894169956;9416995;9416995;I000085;14;0;0;0;14;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894170037;9417003;9417003;I000085;7;0;0;0;7;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894197232;9419723;9419723;I000210;8;0;0;0;8;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894197232;9419723;9419723;I000211;26;0;0;0;26;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894197232;9419723;9419723;I000426;6;0;0;0;6;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894197232;9419723;9419723;I999999;54;0;0;0;54;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894389798;9438979;9438979;I000264;8;0;0;0;8;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894389798;9438979;9438979;I000265;5;0;0;0;5;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894389798;9438979;9438979;I000266;10;0;0;0;10;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894389798;9438979;9438979;I000471;60;0;0;0;60;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894424901;9442490;9442490;I000529;30;0;0;0;30;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000362;5.335;0;0;0;5.335;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000363;7.757;0;0;0;7.757;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000364;4.8;0;0;0;4.8;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000365;62.674;0;0;0;62.674;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000367;1.533;0;0;0;1.533;2022.11;X590780193;30DEC22;11:03:01
