"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;mpca;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/02/02 15:57:06";="800000028";18;00;1;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:30";="590780193";18;00;9;2022.12;X590780193;06FEB23;14:14:49
