"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;age2;nb;nbrapss;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:40";="600100713";R54+0;59;1;1;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:23";="800000523";Z372;0;1;1;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/02/06 14:15:29";="590780193";Z710;0;27;34;2022.12;X590780193;06FEB23;14:14:49
