"champ";"statut";"annee";"periode";"date du resultat";"ipe";dmpp;N;nbj;pctj;nbsej;nbj2;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";R53;192;2031;15.550111018;112;2031;15.550111018;R53;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";R52;39;564;4.318199219;23;564;19.868310237;R52;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";U07;61;508;3.8894418498;42;500;23.757752086;U07;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";R13;29;449;3.4377153357;13;449;27.195467422;R13;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";C78;41;419;3.2080238879;20;419;30.40349131;C78;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";C79;38;415;3.1773983615;19;415;33.580889672;C79;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";G30;27;358;2.7409846107;15;358;36.321874282;G30;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";C15;23;351;2.6873899395;7;351;39.009264222;C15;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";I64;19;338;2.5878569788;6;338;41.597121201;I64;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";G81;14;319;2.4423857285;2;319;44.039506929;G81;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";E46;31;308;2.358165531;21;308;46.39767246;E46;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";I69;11;300;2.2969144782;1;300;48.694586938;I69;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";C64;18;276;2.11316132;10;276;50.807748258;C64;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";I70;19;268;2.0519102672;9;268;52.859658525;I70;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";E10;17;257;1.9676900697;7;257;54.827348595;E10;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";S98;17;245;1.8758134905;8;245;56.703162086;S98;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";C34;19;236;1.8069060562;11;236;58.510068142;C34;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";I50;19;224;1.7150294771;12;224;60.225097619;I50;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";C76;9;208;1.5925273716;2;208;61.81762499;C76;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";C71;13;203;1.5542454636;6;203;63.371870454;C71;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";J18;26;184;1.4087742133;21;184;64.780644667;J18;2022.12;X800000093;17JAN23;14:56:34
