"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep22;dep22_aut;nb22;ecart;dep22_val;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894000372;9400037;9400037;I000163;10822.842;11253.54;9;172.214;10995.056;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894045496;9404549;9404549;I999999;1146.58;1222.14;10;37.78;1184.36;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894045557;9404555;9404555;I999999;2179.935;2199.843;9;9.954;2189.889;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894138389;9413838;9413838;I000428;117120.256;117579.78123;121.993;229.762616;117350.01862;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894138389;9413838;9413838;I000586;48050.863;48239.3912;50.05;94.2641;48145.1271;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894169956;9416995;9416995;I000085;545.179;547.372;14;1.0965;546.2755;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894170037;9417003;9417003;I000085;2231.123;2235.401;7;2.139;2233.262;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894197232;9419723;9419723;I000210;21093.6;21176.344;8;41.372;21134.972;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894197232;9419723;9419723;I000211;68554.2;68823.118;26;134.459;68688.659;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894197232;9419723;9419723;I000426;15820.2;15882.258;6;31.029;15851.229;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894197232;9419723;9419723;I999999;142381.8;142940.322;54;279.261;142661.061;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894389798;9438979;9438979;I000264;19771.844;19849.416;8;38.786;19810.63;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894389798;9438979;9438979;I000265;12357.405;12405.885;5;24.24;12381.645;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894389798;9438979;9438979;I000266;24714.81;24811.77;10;48.48;24763.29;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894389798;9438979;9438979;I000471;148288.83;148870.62;60;290.895;148579.725;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894424901;9442490;9442490;I000529;219982.215;220791.15;30;404.4675;220386.6825;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000362;295.05;1062.913513;5.335;383.9317565;678.9817565;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000363;429.004;1922.622242;7.757;746.809121;1175.813121;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000364;265.464;1074.296;4.8;404.416;669.88;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000365;3466.17;12573.083263;62.674;4553.4566315;8019.6266315;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I000367;84.782;269.581116;1.533;92.399558;177.181558;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I999999;1427.968;5278.885668;25.82;1925.458834;3353.426834;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894555063;9455506;9455506;I000372;1010.408;1197.584155;12.419;69.888347;1080.296347;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894555063;9455506;9455506;I000373;402.568;614.680144;4.948;106.056072;508.624072;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894555063;9455506;9455506;I000374;453.99;562.405528;5.58;45.228456;499.218456;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400890000987;9000098;9000098;I000372;6357.2;8397.827;96;860.0725;7217.2725;2022.11;X590782652;29DEC22;12:11:02
