"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;nbrapss;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";C390;19;13;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";C409;1;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";C459;1;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";C55;2;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";C579;1;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";C761;2;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";C763;2;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";E148;1;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";E149;9;6;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";I776;10;4;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";K559;3;3;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";K639;3;2;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";M139;2;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";M8991;5;4;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";M8995;2;2;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";N19;2;2;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";T131;1;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";T134;2;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";T136;1;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";T138;2;2;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:48";="590048476";T140;2;1;2022.11;X590048476;30DEC22;15:37:12
