"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;mpca;karnof;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/27 16:29:53";="800000069";14;05;60;1;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:54";="590782652";09;14;60;1;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:54";="590782652";14;00;60;1;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/02/02 14:56:39";="590048476";09;14;60;1;2022.12;X590048476;02FEB23;14:56:04
