"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";04;114;88;1248;5.8405091726;30;12.519230769;4.141025641;68.786318932;69.391025641;90;63;52;18.076923077;87.729314863;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";21;58;50;714;3.3414451516;70;6.8641456583;3.1904761905;31.883753501;0;52;42;38;17.868421053;91.070760015;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";10;54;39;679;3.1776488207;50;9.5449189985;2.1502209131;58.325478645;17.967599411;54;36;18;21.277777778;94.248408836;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";22;23;20;390;1.8251591164;100;6.6794871795;4;0.0279311556;0;14;20;20;19.5;96.073567952;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";29;38;38;203;0.9500187196;50;10.763546798;2.0492610837;38.679802956;0;10;38;38;5.3421052632;97.023586672;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";06;18;17;175;0.8189816548;60;10.034285714;3.4057142857;32.410129159;85.714285714;46;13;7;10.857142857;97.842568326;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";15;18;15;137;0.6411456383;90;7.299270073;3.3722627737;0.1626637336;30.656934307;23;11;6;10.333333333;98.483713965;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";01;9;7;92;0.4305503557;40;13.054347826;3.5869565217;46.477695057;94.565217391;28;7;3;5.6666666667;98.91426432;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";07;10;6;79;0.3697117185;40;11.53164557;5.2658227848;33.683544304;86.075949367;15;4;4;19.75;99.283976039;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";02;6;4;72;0.3369524523;40;13.111111111;3.5555555556;67.027777778;100;15;4;4;18;99.620928491;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";14;5;4;36;0.1684762261;30;14;4.5555555556;78.111111111;100;15;4;2;5;99.789404717;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";18;9;9;21;0.0982777986;50;10.095238095;3.1428571429;66.142857143;0;9;9;8;2.375;99.887682516;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";24;1;1;16;0.0748783227;60;8;4;1;100;7;1;;;99.962560839;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";13;2;1;8;0.0374391614;30;14;4;77;100;8;1;;;100;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:10";="590780193";99;3158;2753;21368;;60;8.6971639835;2.5253650318;42.152398542;12.856238125;448;2447;2353;7.7556311092;100;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";04;852;647;7287;47.140639151;40;12.649650062;3.8074653493;78.417592974;48.524770139;366;267;218;26.71559633;47.140639151;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";09;288;192;2977;19.258636305;50;8.4188780652;2.493113873;65.584481021;15.015115888;178;98;80;29.525;66.399275456;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";08;111;73;1261;8.1575883038;60;7.4916732752;2.6328310864;75.538461538;21.173671689;120;47;35;19.4;74.55686376;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";14;97;65;1167;7.5494889378;40;13.794344473;2.880891174;75.63496144;67.437874893;143;34;17;38.823529412;82.106352698;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";03;78;62;721;4.6642515202;60;7.0901525659;2.2371705964;67.887656033;29.680998613;133;44;29;14;86.770604218;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";13;208;202;485;3.137533963;70;4.3855670103;2.012371134;69.136082474;4.5360824742;43;195;191;1.9895287958;89.908138181;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";10;54;44;396;2.5617803079;60;7.6363636364;2.0050505051;61.303030303;36.868686869;76;32;27;10.925925926;92.469918489;2022.11;X590782652;29DEC22;12:11:02
