"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;mpca;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:40";="600100713";07;04;12;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:23";="800000523";04;07;11;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:24";="800000036";04;07;32;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/30 11:42:51";="590782652";04;07;5;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/02/01 15:50:17";="800000085";04;07;51;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:36";="590048476";04;07;244;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:36";="590048476";07;04;171;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:06";="800000028";04;07;4;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:31";="590780193";04;07;27;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:09";="600100721";04;07;1;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:09";="600100721";07;04;26;2022.12;X600100721;13FEB23;16:00:35
