"champ";"statut";"annee";"periode";"date du resultat";"ipe";tremb2;mtm0;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";100;1;212;91.774891775;9217;93.725849095;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";80;0;1;0.4329004329;2;0.0203376042;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:42";="020000022";80;1;18;7.7922077922;615;6.2538133008;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:59";="590048476";100;0;3;0.2697841727;28;0.1630941286;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:59";="590048476";100;1;1006;90.467625899;15813;92.107409133;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:59";="590048476";80;0;102;9.1726618705;1326;7.7236719478;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:59";="590048476";80;1;1;0.0899280576;1;0.0058247903;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:42";="590780193";100;0;21;0.8728179551;357;1.7186597343;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:42";="590780193";100;1;2302;95.677472984;19132;92.104756403;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:42";="590780193";80;0;80;3.3250207814;1198;5.7673791643;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:42";="590780193";80;1;2;0.0831255195;40;0.192566917;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:42";="590780193";80f;1;1;0.0415627598;45;0.2166377816;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";100;0;39;4.7503045067;624;4.0367447276;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";100;1;727;88.550548112;13764;89.041273127;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";80;0;9;1.0962241169;132;0.8539267693;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";80;1;46;5.6029232643;938;6.0680553759;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";100;1;342;91.689008043;8748;90.690441634;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";80;0;27;7.2386058981;850;8.8119427742;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";80;1;4;1.072386059;48;0.497615592;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";100;1;269;95.053003534;6672;95.164741121;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";80;0;14;4.9469964664;339;4.8352588789;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";100;1;239;92.635658915;7609;93.167625811;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";80;0;19;7.3643410853;558;6.8323741888;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";100;1;144;88.343558282;4603;94.887652031;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";80;0;19;11.656441718;248;5.1123479695;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:48";="800000069";100;1;186;73.517786561;6104;65.472487397;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:48";="800000069";80;0;21;8.3003952569;638;6.8432907862;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:48";="800000069";80f;1;46;18.181818182;2581;27.684221817;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";100;0;1;1;41;1.1449315834;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";100;1;84;84;3221;89.946942195;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";80;0;15;15;319;8.9081262217;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:47";="800000085";100;1;169;97.126436782;6304;96.805896806;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:47";="800000085";80;1;5;2.8735632184;208;3.1941031941;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";100;1;144;64;4143;75.990462216;2022.11;X800000093;27DEC22;14:51:09
