"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nb;nbok;montant;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:38:03";="590048476";3400894512820;9451282;9451282;NXXXX00;76;76;3103.84;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400890009942;9000994;9000994;NARIM02;90;90;15139.377;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400890009942;9000994;9000994;NXXXX00;90;90;15139.377;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400890016223;9001622;9001622;CAVAL01;243;243;284826.223;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894061007;9406100;9406100;NXXXX00;12;12;11598.798;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:45";="590780193";3400894078036;9407803;9407803;CRIFA01;28;28;149.5;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400890009041;9000904;9000904;CSOTO01;240;240;7549.92;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400890009041;9000904;9000904;NXXXX01;240;240;7549.92;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400890018586;9001858;9001858;CSOTO01;524;524;10056.888;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:23:03";="600100721";3400890004879;9000487;9000487;;3;0;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894060925;9406092;9406092;NIMMU06;18;18;3602.07;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894060925;9406092;9406092;NIMMU07;16;16;3201.84;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894061007;9406100;9406100;NIMMU06;9;9;8733.24;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894061007;9406100;9406100;NIMMU07;9;9;8733.24;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 12:54:52";="800000069";3400892461458;9246145;9246145;NUBID05;50;50;83.2;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:52";="800000069";3400894078036;9407803;9407803;CRIFA01;58;58;310.88;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:52";="800000069";3400894501244;9450124;9450124;CDAPA01;26;26;36.236;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400890007887;9000788;9000788;CACAL02;70;70;7611.8;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400894159032;9415903;9415903;NXXXX02;112;112;10183.78;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400894162513;9416251;9416251;COSIM02;330;330;57343.23;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400894178941;9417894;9417894;CDEXA01;8;7;142.94;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400894228080;9422808;9422808;CVENE01;84;84;4090.47;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400894228202;9422820;9422820;CVENE01;14;14;347.4;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400894459910;9445991;9445991;NXXXX02;90;90;11820.69;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:49";="800000523";3400894501244;9450124;9450124;CDAPA01;600;540;689.22;2022.11;X800000523;22DEC22;10:53:02
