"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;annee;mois;COUNT;PERCENT;noligne;nonval;count1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;6;58;8.6438152012;1;;56;3.5714285714;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;6;1159;;3;;918;26.252723312;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;7;50;7.4515648286;1;;42;19.047619048;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;7;654;;3;;867;-24.56747405;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;8;43;6.4083457526;1;;54;-20.37037037;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;8;639;;3;;900;-29;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;9;39;5.8122205663;1;;48;-18.75;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;9;923;;3;;797;15.809284818;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;10;57;8.4947839046;1;;55;3.6363636364;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;10;1041;;3;;1081;-3.700277521;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;11;54;8.0476900149;1;;43;25.581395349;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;11;660;;3;;682;-3.225806452;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nombre de RAPSS transmis;2022;12;95;14.157973174;1;;87;9.1954022989;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";Nb de journées de présence;2022;12;1682;;3;;2111;-20.32212222;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;1;411;7.5956385141;1;;478;-14.0167364;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;1;8631;;3;;9024;-4.355053191;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;2;416;7.6880428756;1;;432;-3.703703704;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;2;7758;;3;;7815;-0.729366603;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;3;447;8.2609499168;1;;402;11.194029851;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;3;8434;;3;;8520;-1.009389671;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;4;459;8.4827203844;1;;432;6.25;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;4;8327;;3;;8464;-1.618620038;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;5;452;8.3533542783;1;;433;4.3879907621;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;5;8441;;3;;8539;-1.147675372;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;6;419;7.7434854925;1;;430;-2.558139535;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;6;7874;;3;;8297;-5.098228275;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;7;431;7.9652559601;1;;432;-0.231481481;2022.12;X800000523;26JAN23;11:33:47
