"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;nb;nb1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);124;19;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";Nb journées avec pbs de chainage;0;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";Nb journées non facturables à l'AM;0;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";Nb journées valorisées;9565;559;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";Nb journées transmises;7037;542;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";Nb journées en erreur;52;4;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";Nb journées avec sortie transfert ou mutation;117;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";Nb journées avec pbs de chainage;0;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";Nb journées non facturables à l'AM;0;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";Nb journées valorisées;6868;538;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:48";="800000028";Nb journées transmises;8167;552;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:48";="800000028";Nb journées en erreur;0;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:48";="800000028";Nb journées avec sortie transfert ou mutation;74;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:48";="800000028";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:48";="800000028";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:48";="800000028";Nb journées avec pbs de chainage;0;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:48";="800000028";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:48";="800000028";Nb journées non facturables à l'AM;0;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:48";="800000028";Nb journées valorisées;8093;552;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";Nb journées transmises;4851;416;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";Nb journées en erreur;0;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";Nb journées avec sortie transfert ou mutation;51;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";Nb journées avec pbs de chainage;0;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";Nb journées non facturables à l'AM;0;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";Nb journées valorisées;4800;416;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";Nb journées transmises;9323;707;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";Nb journées en erreur;7;1;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";Nb journées avec sortie transfert ou mutation;104;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";Nb journées avec pbs de chainage;0;0;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";Nb journées non facturables à l'AM;0;0;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";Nb journées valorisées;9212;706;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";Nb journées transmises;3581;218;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";Nb journées en erreur;0;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";Nb journées avec sortie transfert ou mutation;39;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";Nb journées avec pbs de chainage;0;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";Nb journées non facturables à l'AM;0;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";Nb journées valorisées;3542;218;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";Nb journées transmises;6512;455;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";Nb journées en erreur;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";Nb journées avec sortie transfert ou mutation;69;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";Nb journées avec pbs de chainage;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";Nb journées non facturables à l'AM;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";Nb journées valorisées;6443;455;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";Nb journées transmises;5481;438;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";Nb journées en erreur;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";Nb journées avec sortie transfert ou mutation;4;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";Nb journées avec pbs de chainage;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";Nb journées non facturables à l'AM;29;7;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";Nb journées valorisées;5448;431;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:47";="800000523";Nb journées transmises;88476;4891;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:47";="800000523";Nb journées en erreur;0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:47";="800000523";Nb journées avec sortie transfert ou mutation;668;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:47";="800000523";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:47";="800000523";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:47";="800000523";Nb journées avec pbs de chainage;0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:47";="800000523";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:47";="800000523";Nb journées non facturables à l'AM;0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:47";="800000523";Nb journées valorisées;87808;4891;2022.11;X800000523;22DEC22;10:53:02
