"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;mnt_gf;mnt_per_t2a;mnt_per_gf;mnt_per_hpr;mnt_du_gf;mnt_du;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";51;0;0;2360977.156;0;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";52;0;0;0;0;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";99;0;0;2360977.156;;0;0;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:38:07";="590048476";51;0;0;4151432.8071;0;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:07";="590048476";52;0;0;0;0;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:07";="590048476";99;0;0;4151432.8071;;0;0;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:47";="590780193";51;0;0;3667432.9037;0;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:47";="590780193";52;0;0;22091.254464;0;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:47";="590780193";99;0;0;3689524.1582;;0;0;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:40";="590782652";51;0;0;3676843.0102;0;0;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:40";="590782652";52;0;0;0;0;0;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:40";="590782652";99;0;0;3676843.0102;;0;0;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:57";="600100713";51;0;0;2361544.9012;0;0;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:57";="600100713";52;0;0;0;0;0;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:57";="600100713";99;0;0;2361544.9012;;0;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:23:06";="600100721";51;0;0;1735618.6801;0;0;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:06";="600100721";52;0;0;0;0;0;0;2022.11;X600100721;02JAN23;9:22:25
