"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess_esms;type_etab;type_lieu;codefs;date_deb;date_fin;date_fin1;indic;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:44";="600100713";600000376;17;3;1;17/04/2013;;;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:44";="600100713";600100572;17;3;1;29/07/2009;;06/06/2179;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:29";="800000523";800002974;17;3;1;01/01/2013;;;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:29";="800000523";800079741;17;3;1;01/01/2006;;06/06/2179;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:29";="800000523";800154148;20;4;1;27/06/2018;;06/06/2179;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:29";="800000523";800523128;33;6;0;23/06/2021;;06/06/2179;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/30 11:42:55";="590782652";590048443;17;3;1;27/08/2009;;;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:55";="590782652";590797601;33;6;0;24/10/2013;;06/06/2179;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/02/02 14:56:40";="590048476";590001137;17;3;1;11/09/2012;31/12/2050;;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:40";="590048476";590036471;17;3;1;10/10/2016;31/12/2030;31/12/2050;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:40";="590048476";590046413;17;3;1;27/10/2010;31/12/2050;31/12/2030;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:40";="590048476";590060729;17;3;1;11/09/2015;31/12/2050;31/12/2050;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:40";="590048476";590791679;33;6;0;16/02/2022;31/12/2030;31/12/2050;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:40";="590048476";591192430;17;3;1;20/03/2013;31/12/2050;31/12/2030;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/13 16:01:14";="600100721";600000160;17;3;1;01/02/2011;31/12/2035;;;2022.12;X600100721;13FEB23;16:00:35
