"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;mpcp;mpca;nb;nbrapss;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:55";="590048476";07;02;19;2;3;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:39";="590780193";03;22;00;10;11;2022.11;X590780193;30DEC22;11:03:01
